from,to,relationship
uvdl,500,2
uvdl,cdu,1
lk,500,2
lk,spd,1
nr,500,2
nr,cdu,1
sw,die linke,1
sw,500,2
cs,500,2
cl,501,2
cl ,fdp,1
nr,501,2
kl,501,2
lm,501,2
kd,501,2
el,501,2
ab,bündnis 90/​die grünen,1
ab,502,2
ft,502,2
am,502,2
agl,fdp,1
agl,502,2
er ,502,2
rh,bündnis 90/​die grünen,1
rh,503,2
lk,503,2
cm,503,2
kp,503,2
rk,cdu,1
rk,503,2
cla,spd,1
cla,504,2
agl,504,2
cb,504,2
ch,504,2
mw,504,2
os,505,2
os,spd,1
uvdl,nr,3
cl,rk,3
rk,nr,3
rk,uvdl,3
os,cla,3
rh,ab,3