id,name,partei,sector,country,type
uvdl,Ursula von der Leyen,cdu,1,belgien,1
lk,Lars Klingbeil,spd,1,deutschland,1
nr,Norbert Röttgen,cdu,1,deutschland,1
sw,Sahra Wagenknecht,die linke,1,deutschland,1
cs,Constanze Stelzenmüller,NA,2,deutschland,1
cl,Christian Lindner,fdp,1,deutschland,1
kl,Karl Schlögel,NA,3,deutschland,1
lm,Ljudmyla Melnyk,NA,3,NA,1
kd,Kristina Dunz,NA,2,deutschland,1
el,Egils Levits,NA,1,lettland,1
ab,Annalena Baerbock,bündnis 90/​die grünen,1,deutschland,1
ft,Frans Timmermans,GL-PvdA,1,niederlande,1
am,Andrij Melnyk,NA,1,ukraine,1
agf,Alexander Graf Lambsdorff,fdp,1,deutschland,1
er,Egon Ramms,NA,4,deutschland,1
rh,Robert Habeck,bündnis 90/​die grünen,1,deutschland,1
cm,Claudia Major,NA,3,deutschland,1
kp,Katja Petrowskaja,NA,2,ukraine,1
rk,Roderich Kiesewetter,cdu,1,deutschland,1
cla,Christine Lambrecht,spd,1,deutschland,1
sb,Stefanie Babst,NA,2,deutschland,1
ch,Christoph Heusgen,NA,1,deutschland,1
mw,Marina Weisband,NA,2,ukraine,1
os,Olaf Scholz,spd,1,deutschland,1
500,folge fünfhundert,NA,NA,NA,2
501,folge fünfhunderteins,NA,NA,NA,2
502,folge fünfhundertzwei,NA,NA,NA,2
503,folge fünfhundertdrei,NA,NA,NA,2
504,folge fünfhundertvier,NA,NA,NA,2
505,folge fünfhundertfünf,NA,NA,NA,2
cdu,CDU,NA,NA,NA,3
spd,SPD,NA,NA,NA,3
fdp,FDP,NA,NA,NA,3
die linke,Die Linke,NA,NA,NA,3
bündnis 90/​die grünen,Die Grünen,NA,NA,NA,3
GL-PvdA,GL-PvdA,NA,NA,NA,3